Name,Level,OverallScore,Club,Decisions,Composure,First Touch,Tempo,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Balance,Carries,Flair,Skills,Takeons,Close,Long Shots,Penalty,Set Piece,Pass Accuracy,Cross,Pass Range,Through,Intensity,Pressing,Recovery,Stamina,Bravery,Blocking,Marking,Tackling,Anticipation,Awareness,Concentration,Positioning,Aerial Duels,Coordination,Heading,Jumping,Acceleration,Agility,Pace,Reactions,Aggression,Duels,Hold Up,Throwing,TechnicalScore,MentalScore,PhysicalScore,TacticalScore
Rodri,93,87.5,Manchester City,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Average,Average,Average,Good,Good,Excellent,Excellent,Good,87,92,80,92
Kevin De Bruyne,92,86.7,Manchester City,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Average,Good,Average,Average,Average,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,95,93,80,78
Mohamed Salah,92,86.7,Liverpool,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Average,Average,Average,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,92,88,92,75
Declan Rice,92,85.8,Arsenal,Excellent,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Excellent,Average,Average,Average,Good,Good,Excellent,Good,Good,85,85,78,95
William Saliba,91,85.4,Arsenal,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Average,Good,Average,Good,Good,Good,Average,Good,Good,Good,Average,Average,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,75,82,92,93
Virgil van Dijk,93,84.6,Liverpool,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Average,Good,Good,Good,Good,Average,Average,Average,Good,Good,Good,Average,Good,Average,Good,Good,Good,Average,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Average,Average,Good,Excellent,Good,Excellent,Good,Excellent,73,85,87,93
Kyle Walker,92,84.6,Manchester City,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Average,Excellent,78,78,90,92
Martin Odegaard,92,84.6,Arsenal,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Average,Average,Average,Excellent,Excellent,Excellent,Average,Average,Good,Good,Average,Good,Good,Average,Good,Good,Average,Average,Good,92,95,72,80
Manuel Akanji,90,84.6,Manchester City,Excellent,Excellent,Good,Good,Average,Good,Good,Excellent,Average,Good,Good,Average,Good,Average,Average,Good,Good,Good,Good,Average,Good,Good,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Good,Average,Excellent,Excellent,Good,Excellent,Good,Excellent,77,80,88,93
Bukayo Saka,92,84.2,Arsenal,Excellent,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Excellent,Good,Average,Good,Average,Good,Excellent,Excellent,Excellent,Good,Average,Average,Average,Average,88,90,75,83
